YYYYMMDD,OPEN,HIGH,LOW,CLOSE
2011-01-03,6205.0,6207.35,6175.0,6181.0
2011-01-04,6208.0,6209.9,6146.7,6157.75
2011-01-05,6148.0,6150.0,6086.9,6098.2
2011-01-06,6134.0,6134.0,6046.3,6070.25
2011-01-07,6063.25,6072.0,5891.35,5896.05
2011-01-10,5902.0,5914.0,5746.0,5757.0
2011-01-11,5781.0,5841.8,5700.0,5809.0
2011-01-12,5792.15,5885.0,5711.65,5867.95
2011-01-13,5869.0,5869.0,5736.1,5761.2
2011-01-14,5753.0,5858.75,5638.1,5645.0
2011-01-17,5652.0,5704.6,5628.65,5662.0
2011-01-18,5678.2,5741.8,5672.35,5738.0
2011-01-19,5745.0,5753.95,5661.1,5698.0
2011-01-20,5658.0,5743.9,5632.0,5721.65
2011-01-21,5695.0,5717.7,5665.0,5700.2
2011-01-24,5705.25,5759.5,5695.0,5742.0
2011-01-25,5755.2,5795.8,5676.6,5681.2
2011-01-27,5704.0,5715.0,5597.35,5604.2
2011-01-28,5602.05,5622.0,5485.0,5544.9
2011-01-31,5455.25,5545.0,5438.1,5526.0
2011-02-01,5530.65,5539.6,5411.2,5423.5
2011-02-02,5470.0,5510.0,5421.7,5432.8
2011-02-03,5434.65,5545.9,5425.0,5539.0
2011-02-04,5537.0,5566.05,5356.5,5380.0
2011-02-07,5402.95,5444.5,5370.1,5406.0
2011-02-08,5411.25,5417.25,5303.6,5321.0
2011-02-09,5292.65,5347.9,5227.95,5283.0
2011-02-10,5260.0,5285.0,5210.2,5224.0
2011-02-11,5241.0,5329.9,5175.1,5312.9
2011-02-14,5336.0,5467.6,5336.0,5457.35
2011-02-15,5460.0,5504.0,5397.5,5477.0
2011-02-16,5472.0,5508.2,5458.6,5494.0
2011-02-17,5496.0,5550.0,5460.1,5549.5
2011-02-18,5566.2,5589.0,5436.1,5468.0
2011-02-21,5460.25,5539.0,5411.0,5532.0
2011-02-22,5478.9,5520.0,5428.15,5476.2
2011-02-23,5452.0,5501.8,5426.5,5441.0
2011-02-24,5418.55,5430.0,5251.0,5262.9
2011-02-25,5327.1,5347.0,5232.6,5328.45
2011-02-28,5327.1,5498.9,5310.0,5341.1
2011-03-01,5375.0,5555.0,5375.0,5555.0
2011-03-03,5506.0,5597.8,5477.3,5554.8
2011-03-04,5578.0,5611.7,5517.65,5548.0
2011-03-07,5500.05,5500.05,5400.25,5482.5
2011-03-08,5472.0,5548.0,5466.55,5537.6
2011-03-09,5553.0,5572.8,5477.65,5532.7
2011-03-10,5509.65,5515.0,5466.05,5508.2
2011-03-11,5469.5,5514.9,5413.0,5465.0
2011-03-14,5455.6,5562.0,5448.1,5556.95
2011-03-15,5389.9,5504.95,5375.6,5461.8
2011-03-16,5477.8,5553.0,5477.0,5529.5
2011-03-17,5485.5,5528.8,5450.0,5479.9
2011-03-18,5489.8,5502.2,5380.0,5383.0
2011-03-21,5410.0,5425.0,5357.25,5387.55
2011-03-22,5402.0,5448.6,5387.6,5438.0
2011-03-23,5415.0,5504.5,5415.0,5503.1
2011-03-24,5516.0,5553.45,5510.1,5551.0
2011-03-25,5582.0,5693.0,5571.1,5674.0
2011-03-28,5670.35,5729.0,5663.55,5704.0
2011-03-29,5695.25,5787.9,5695.25,5755.0
2011-03-30,5777.25,5817.0,5771.0,5812.4
2011-03-31,5811.0,5879.75,5782.5,5833.6
2011-04-01,5865.1,5884.7,5837.0,5864.65
2011-04-04,5874.0,5955.3,5850.0,5946.5
2011-04-05,6000.0,6000.0,5871.65,5927.0
2011-04-06,5933.05,5971.05,5880.3,5912.05
2011-04-07,5910.0,5932.4,5881.25,5902.7
2011-04-08,5904.95,5927.0,5831.6,5859.6
2011-04-11,5848.6,5848.6,5796.5,5798.0
2011-04-13,5753.0,5947.6,5750.65,5943.0
2011-04-15,5902.0,5919.0,5820.7,5828.0
2011-04-18,5839.45,5920.95,5727.1,5740.0
2011-04-19,5720.0,5781.95,5703.0,5760.15
2011-04-20,5800.5,5875.0,5767.25,5873.5
2011-04-21,5907.0,5931.65,5880.1,5901.5
2011-04-25,5896.0,5925.0,5875.55,5877.0
2011-04-26,5882.0,5907.9,5793.25,5874.1
2011-04-27,5904.9,5904.9,5820.1,5835.8
2011-04-28,5850.1,5854.0,5776.15,5785.85
2011-04-29,5788.0,5823.65,5720.0,5750.6
2011-05-02,5784.0,5790.0,5703.15,5720.0
2011-05-03,5703.0,5726.0,5560.0,5562.0
2011-05-04,5531.0,5592.9,5510.65,5536.0
2011-05-05,5573.0,5573.0,5443.55,5447.8
2011-05-06,5482.1,5574.5,5468.0,5549.95
2011-05-09,5570.2,5584.1,5501.55,5554.25
2011-05-10,5559.0,5605.0,5517.0,5549.2
2011-05-11,5552.15,5577.9,5523.5,5562.0
2011-05-12,5537.0,5577.7,5470.5,5486.0
2011-05-13,5495.0,5622.8,5465.2,5581.5
2011-05-16,5529.0,5537.35,5477.35,5490.0
2011-05-17,5491.0,5521.6,5422.55,5449.5
2011-05-18,5455.65,5463.55,5397.6,5427.0
2011-05-19,5437.0,5451.8,5404.45,5433.75
2011-05-20,5442.35,5522.4,5428.8,5479.6
2011-05-23,5439.0,5439.9,5364.75,5381.5
2011-05-24,5390.0,5417.8,5360.0,5393.9
2011-05-25,5366.0,5374.0,5328.55,5348.0
2011-05-26,5367.0,5414.0,5353.9,5412.9
2011-05-27,5415.0,5482.0,5415.0,5471.05
2011-05-30,5480.0,5495.3,5441.0,5467.0
2011-05-31,5488.0,5563.45,5480.15,5552.2
2011-06-01,5564.8,5594.0,5545.95,5593.0
2011-06-02,5544.0,5576.65,5531.0,5563.9
2011-06-03,5569.9,5608.5,5509.3,5533.1
2011-06-06,5509.8,5546.9,5475.3,5536.2
2011-06-07,5519.0,5577.65,5508.6,5563.0
2011-06-08,5529.0,5559.0,5511.3,5533.0
2011-06-09,5519.4,5544.05,5493.0,5521.9
2011-06-10,5512.55,5519.7,5450.25,5486.0
2011-06-13,5470.0,5511.45,5437.55,5502.0
2011-06-14,5505.0,5535.0,5495.5,5517.0
